Iteration,BatchSize,UserIndex,UserAddress,PenaltyAmount,FinalBill,Latency(s)
9,100,42,0x6831762a1dB081fE324CD3c38274F85C40dD853B,33000000000000000,967000000000000000,0.516
9,100,43,0xC6Bb1BB4a878B655BcEeff8B9423E6d2Eb92fe3A,33000000000000000,967000000000000000,0.546
9,100,44,0xb43E609C4039981C1245bc3dD024196B89Db4f1e,33000000000000000,967000000000000000,0.55
9,100,45,0xdA3114CBAAAC223DF1F45123ccec937fe57A66Ab,33000000000000000,967000000000000000,0.62
9,100,46,0x6E7549Fa88FACF843239514ACEb8B87eE8936Af4,33000000000000000,967000000000000000,0.509
9,100,47,0x558092ECAB0FEca505f1Fff7b056ED2468Aa2F64,33000000000000000,967000000000000000,0.559
9,100,48,0x48671a5f4EF46DCC5f330aa5e542da304cEf15AE,33000000000000000,967000000000000000,0.55
9,100,49,0x7EAE600a929F0c05532E458c0B00e8CfC474f986,33000000000000000,967000000000000000,0.536
9,100,50,0x922d8E649d5C96c474f252dd582af451e86028Eb,33000000000000000,967000000000000000,0.524
9,100,51,0xb59A94067ab007c0BF1cfe30Efa06e21aDb72bDc,0,0,0.52
9,100,52,0x994a854528c41B33660B86FEd54D99B325617adc,0,0,0.589
9,100,53,0xAD4b618eF96f7fcEc93519E18A0D3605445c182a,0,0,0.576
9,100,54,0x514C1035F85E205967A70c681Ee195cBb6289530,0,0,0.625
9,100,55,0x42a7c368AF10Fd3fd3455D1099131B86f39F8007,0,0,0.831
9,100,56,0xDc959dE2516D43aB54419A3E7B1426409cE5fA3e,0,0,0.531
9,100,57,0x64fb88C1194Eb8F4Fdd0dBD5bc7889096F5a077B,0,0,0.512
9,100,58,0xe38aEEf1662320fC13B76b26db44C24bea94B976,0,0,0.705
9,100,59,0xcDe5863464794Fa29eC28aDf16Cda4A7e99F4eac,0,0,0.62
9,100,60,0x71Dd59ef43D2f1456439F83F27c2485e2254625e,0,0,0.573
9,100,61,0xC05B712BD1C6c44Bd3bE816dEaD852D67EB09773,0,0,0.603
9,100,62,0x4e61F88FE32f4FBc004B3A75A44617922fa4E699,0,0,0.51
9,100,63,0xc19C66a62BFff17405b06E0cf2443d13759F2b7b,0,0,0.533
9,100,64,0x3FBF205EC4fE11Fc82433BBAd6D6e488B1a1bA58,0,0,0.523
9,100,65,0x05a24705088EB68168d269ad8E409d34C60D8e0E,0,0,0.596
9,100,66,0xC3F5DF5CE0e7E20021F40A991b3C190b9ccDaBaa,0,0,0.474
9,100,67,0x5c78Dd14CD68585C22e9F9872157408324b95468,0,0,0.545
9,100,68,0xbB20dBc386A16d4F1d478055AC6436104EB9865B,0,0,0.688
9,100,69,0x95d860562FE64Cbd403140846dB77eA28d625B09,0,0,0.51
9,100,70,0xD0c1fA48120E2886B6c3F8c85C603149838C7c45,0,0,0.576
9,100,71,0x6eb47b6A424b4d989468D3069D4B7B10C524666e,0,0,0.523
9,100,72,0x6211208302a81d0E128A38b8bCfDd667c39153c9,0,0,0.58
9,100,73,0x0E79Db3D083791AEe1fdb54dfa92Ceb9D01250D6,0,0,0.875
9,100,74,0x084CD56b424e7FE95cD70064a8D6a37F9bD0b5C2,0,0,0.594
9,100,75,0x9551b6114334B903C44aa62610ceDC097bB8d8d1,0,0,0.618
9,100,76,0xb1427b145d923215a0b7781ceEE70D8942C06976,0,0,0.544
9,100,77,0xf51E8B029dC858caf3CfCfE1fCeb7675808b955F,0,0,0.617
9,100,78,0xD59DEAca05FC231EDE441BCC17b9b3167EAd6d81,0,0,0.469
9,100,79,0x6Df4766fb6E2fcbf43B65D713123ac06fDa1982F,0,0,0.508
9,100,80,0x6A7e0daC556e72FEcB6888a1E044cf2a87786537,0,0,0.642
9,100,81,0xa705a8690111B4aD60f86795BBBde5b82Fd0fE9A,0,0,0.496
9,100,82,0x014579B09454080346a24470812e284e9501fAC8,0,0,0.572
9,100,83,0x3F10d63A395dc48385931d344E56dB3590AAA2d5,0,0,0.538
9,100,84,0x18679f247eD9d1f8c312E29F1255FCa3f83226f3,0,0,0.572
9,100,85,0x08c665C8FBD4010DbcC716aB47b63328a6Cfe925,0,0,0.82
9,100,86,0x78766F10237186a4AcAE7B3c741c5B18497e51d2,0,0,0.568
9,100,87,0x3E7944db3ed7E15AaB30b035b29fBe2e73a2C54A,0,0,0.574
9,100,88,0xB9F6c387e1E7057b4Cd3135Dc37342a02aD919F2,0,0,0.597
9,100,89,0xc42F7E67BE656F073C2aa783D7965c82cbb4d516,0,0,0.517
9,100,90,0xf6839eBbbdad2e851F79912B083cC569Fd9576f6,0,0,0.592
9,100,91,0x5088D5b95492D9b91636a705FDc33a64c6150614,0,0,0.569
9,100,92,0x8B65fbFEbE686Ea6085e5ccC8e7641840795EAb3,0,0,0.561
9,100,93,0x2ebE4A761B27687e50600Fc91f0C1d4772B556A4,0,0,0.536
9,100,94,0x2eAE96739E91185a30E9f7AA4D9a6e8302A51F71,0,0,0.567
9,100,95,0xCaA91F5854223cCE252d0A6A5Bfe796977089f38,0,0,0.584
9,100,96,0x1C1b438F9C83c4f69A4fEac44a5515C82B3a8C92,0,0,0.514
9,100,97,0xec208fF0CFc9dcE2049Bcc1e0D5994E53356dd98,0,0,0.564
9,100,98,0xc54956329ad81594e918B9727B88C7d6D5e2ffe0,0,0,0.461
9,100,99,0xB4753B08CC90f9a4d8dd3D02D52A76aF17bEf5c0,0,0,0.541
9,100,100,0x7b980Bb5399bF00043408d25dD96A8f1Da389f34,0,0,0.435
10,100,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.605
10,100,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.907
10,100,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.533
10,100,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.505
10,100,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,33000000000000000,967000000000000000,0.619
10,100,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,33000000000000000,967000000000000000,0.627
10,100,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,33000000000000000,967000000000000000,0.512
10,100,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,33000000000000000,967000000000000000,0.643
10,100,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,33000000000000000,967000000000000000,0.518
10,100,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,33000000000000000,967000000000000000,0.488
10,100,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,33000000000000000,967000000000000000,0.868
10,100,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,33000000000000000,967000000000000000,0.547
10,100,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,33000000000000000,967000000000000000,0.62
10,100,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,33000000000000000,967000000000000000,0.507
10,100,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,33000000000000000,967000000000000000,0.84
10,100,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,33000000000000000,967000000000000000,0.489
10,100,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,33000000000000000,967000000000000000,0.624
10,100,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,33000000000000000,967000000000000000,0.526
10,100,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,33000000000000000,967000000000000000,0.611
10,100,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,33000000000000000,967000000000000000,0.558
10,100,21,0x51497B27B08126e5a6953C7EE743861C9AB4F9dE,33000000000000000,967000000000000000,0.6
10,100,22,0xb28f2433DF37060f9d5caA149D04aEe12b7B938B,33000000000000000,967000000000000000,0.631
10,100,23,0x313F2cFe6a76717651159486CEf4E603A63c890A,33000000000000000,967000000000000000,0.512
10,100,24,0x7E6aE727157d983ed80Ee05Ba1ef7F120B7372e1,33000000000000000,967000000000000000,0.837
10,100,25,0x23D607764e3bF83e6e97a91d0c138adf00E893aD,33000000000000000,967000000000000000,0.612
10,100,26,0x9Bd20dE330A01447c3D28Bd7137237116bD9e266,33000000000000000,967000000000000000,0.531
10,100,27,0xA480A6d9763C222E57A50778AF7995c0f0D15145,33000000000000000,967000000000000000,0.605
10,100,28,0x40A469977F73155B263A008d1372127afE9FAF55,33000000000000000,967000000000000000,0.796
10,100,29,0x0aD8C3835d3308aa8782A57F5B78BBf5eBd8042e,33000000000000000,967000000000000000,0.575
10,100,30,0x075BDe0baf59d56aa0EEd3a535a2dAF749C73E85,33000000000000000,967000000000000000,0.548
10,100,31,0xC2f291f5A3409C7e0Cbe21A35b298D06D4D4A81d,33000000000000000,967000000000000000,0.5
10,100,32,0x2a10fD01E3684e16039AEc0375a3EfaF79A984Ef,33000000000000000,967000000000000000,0.638
10,100,33,0xDD6eBD5f9523a2f3f060E4A7B72AC99791B1CF68,33000000000000000,967000000000000000,1.162
10,100,34,0x024a5D816aFdd34c3B8bEC54DFF4C2493b701287,33000000000000000,967000000000000000,0.633
10,100,35,0xE0195036280919C5Fd8a09A284801c1D10544D5B,33000000000000000,967000000000000000,0.553
10,100,36,0x196e12348E375BD1573EA831646Fa4b59fc7365F,33000000000000000,967000000000000000,0.541
10,100,37,0x148EdA985cF169d2b47251526e25D532036A4DE6,33000000000000000,967000000000000000,0.598
10,100,38,0xec6917a08C812F77A6f166C02c591933d9360aF8,33000000000000000,967000000000000000,0.735
10,100,39,0x84632251bcC3a0DF7D02eD42aF82614828e9206C,33000000000000000,967000000000000000,0.531
10,100,40,0xD10Cc8f237bfe15FA26Dd61d94c7824f556905fB,33000000000000000,967000000000000000,0.514
10,100,41,0xEc276022f61BeC020140D4b84835b83E29669035,33000000000000000,967000000000000000,0.565
10,100,42,0x6831762a1dB081fE324CD3c38274F85C40dD853B,33000000000000000,967000000000000000,0.501
10,100,43,0xC6Bb1BB4a878B655BcEeff8B9423E6d2Eb92fe3A,33000000000000000,967000000000000000,0.491
10,100,44,0xb43E609C4039981C1245bc3dD024196B89Db4f1e,33000000000000000,967000000000000000,0.738
10,100,45,0xdA3114CBAAAC223DF1F45123ccec937fe57A66Ab,33000000000000000,967000000000000000,0.615
10,100,46,0x6E7549Fa88FACF843239514ACEb8B87eE8936Af4,33000000000000000,967000000000000000,0.728
10,100,47,0x558092ECAB0FEca505f1Fff7b056ED2468Aa2F64,33000000000000000,967000000000000000,0.592
10,100,48,0x48671a5f4EF46DCC5f330aa5e542da304cEf15AE,33000000000000000,967000000000000000,0.572
10,100,49,0x7EAE600a929F0c05532E458c0B00e8CfC474f986,33000000000000000,967000000000000000,0.579
10,100,50,0x922d8E649d5C96c474f252dd582af451e86028Eb,33000000000000000,967000000000000000,0.558
10,100,51,0xb59A94067ab007c0BF1cfe30Efa06e21aDb72bDc,0,0,0.563
10,100,52,0x994a854528c41B33660B86FEd54D99B325617adc,0,0,0.577
10,100,53,0xAD4b618eF96f7fcEc93519E18A0D3605445c182a,0,0,0.67
10,100,54,0x514C1035F85E205967A70c681Ee195cBb6289530,0,0,0.55
10,100,55,0x42a7c368AF10Fd3fd3455D1099131B86f39F8007,0,0,0.805
10,100,56,0xDc959dE2516D43aB54419A3E7B1426409cE5fA3e,0,0,0.575
10,100,57,0x64fb88C1194Eb8F4Fdd0dBD5bc7889096F5a077B,0,0,0.715
10,100,58,0xe38aEEf1662320fC13B76b26db44C24bea94B976,0,0,0.639
10,100,59,0xcDe5863464794Fa29eC28aDf16Cda4A7e99F4eac,0,0,0.583
10,100,60,0x71Dd59ef43D2f1456439F83F27c2485e2254625e,0,0,0.59
10,100,61,0xC05B712BD1C6c44Bd3bE816dEaD852D67EB09773,0,0,0.478
10,100,62,0x4e61F88FE32f4FBc004B3A75A44617922fa4E699,0,0,0.537
10,100,63,0xc19C66a62BFff17405b06E0cf2443d13759F2b7b,0,0,0.91
10,100,64,0x3FBF205EC4fE11Fc82433BBAd6D6e488B1a1bA58,0,0,0.589
10,100,65,0x05a24705088EB68168d269ad8E409d34C60D8e0E,0,0,0.829
10,100,66,0xC3F5DF5CE0e7E20021F40A991b3C190b9ccDaBaa,0,0,0.579
10,100,67,0x5c78Dd14CD68585C22e9F9872157408324b95468,0,0,0.542
10,100,68,0xbB20dBc386A16d4F1d478055AC6436104EB9865B,0,0,0.541
10,100,69,0x95d860562FE64Cbd403140846dB77eA28d625B09,0,0,0.518
10,100,70,0xD0c1fA48120E2886B6c3F8c85C603149838C7c45,0,0,0.538
10,100,71,0x6eb47b6A424b4d989468D3069D4B7B10C524666e,0,0,0.515
10,100,72,0x6211208302a81d0E128A38b8bCfDd667c39153c9,0,0,0.585
10,100,73,0x0E79Db3D083791AEe1fdb54dfa92Ceb9D01250D6,0,0,0.56
10,100,74,0x084CD56b424e7FE95cD70064a8D6a37F9bD0b5C2,0,0,0.541
10,100,75,0x9551b6114334B903C44aa62610ceDC097bB8d8d1,0,0,0.475
10,100,76,0xb1427b145d923215a0b7781ceEE70D8942C06976,0,0,0.531
10,100,77,0xf51E8B029dC858caf3CfCfE1fCeb7675808b955F,0,0,0.507
10,100,78,0xD59DEAca05FC231EDE441BCC17b9b3167EAd6d81,0,0,0.678
10,100,79,0x6Df4766fb6E2fcbf43B65D713123ac06fDa1982F,0,0,0.48
10,100,80,0x6A7e0daC556e72FEcB6888a1E044cf2a87786537,0,0,0.78
10,100,81,0xa705a8690111B4aD60f86795BBBde5b82Fd0fE9A,0,0,0.607
10,100,82,0x014579B09454080346a24470812e284e9501fAC8,0,0,0.584
10,100,83,0x3F10d63A395dc48385931d344E56dB3590AAA2d5,0,0,0.495
10,100,84,0x18679f247eD9d1f8c312E29F1255FCa3f83226f3,0,0,0.551
10,100,85,0x08c665C8FBD4010DbcC716aB47b63328a6Cfe925,0,0,0.563
10,100,86,0x78766F10237186a4AcAE7B3c741c5B18497e51d2,0,0,0.632
10,100,87,0x3E7944db3ed7E15AaB30b035b29fBe2e73a2C54A,0,0,0.731
10,100,88,0xB9F6c387e1E7057b4Cd3135Dc37342a02aD919F2,0,0,0.53
10,100,89,0xc42F7E67BE656F073C2aa783D7965c82cbb4d516,0,0,0.588
10,100,90,0xf6839eBbbdad2e851F79912B083cC569Fd9576f6,0,0,0.526
10,100,91,0x5088D5b95492D9b91636a705FDc33a64c6150614,0,0,0.596
10,100,92,0x8B65fbFEbE686Ea6085e5ccC8e7641840795EAb3,0,0,0.602
10,100,93,0x2ebE4A761B27687e50600Fc91f0C1d4772B556A4,0,0,0.555
10,100,94,0x2eAE96739E91185a30E9f7AA4D9a6e8302A51F71,0,0,0.503
10,100,95,0xCaA91F5854223cCE252d0A6A5Bfe796977089f38,0,0,0.536
10,100,96,0x1C1b438F9C83c4f69A4fEac44a5515C82B3a8C92,0,0,0.516
10,100,97,0xec208fF0CFc9dcE2049Bcc1e0D5994E53356dd98,0,0,0.578
10,100,98,0xc54956329ad81594e918B9727B88C7d6D5e2ffe0,0,0,0.459
10,100,99,0xB4753B08CC90f9a4d8dd3D02D52A76aF17bEf5c0,0,0,0.517
10,100,100,0x7b980Bb5399bF00043408d25dD96A8f1Da389f34,0,0,0.416
